id,name,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
10988680,"Simple, new, clean accommodation",Georgy,Mission,37.75418395,-122.4065138,Private room,49,25,0,0,0,0,1,100,0.07
8053481,Spacious 2BR/2BATH w/Shared Kitchen,David & Barbara,Mission,37.75416621,-122.4215336,Entire home/apt,220,100,0,15,22,45,9,96,0.49
14011173,Private room - Victorian House in the Mission,Donald,Mission,37.75850584,-122.4061523,Private room,100,0,0,0,0,0,2,90,0.27
16142131,Spacious 1BR in the Mission District,Avishai,Mission,37.75654875,-122.4220251,Entire home/apt,117,0,0,0,0,0,2,100,0.48
9080622,Edwardian flat in heart of Mission,Cindy,Mission,37.76005055,-122.4213524,Private room,200,0,0,0,0,0,0,-1,-1
936209,Sunny Room w/Roofdeck @Dolores Park,Hannah,Mission,37.75949488,-122.4248737,Private room,162,65,17,47,77,352,63,96,1.27
7048973,Boutique Condo in the Mission,Dana,Mission,37.76099687,-122.4131237,Entire home/apt,230,100,4,7,7,231,7,89,0.35
7998215,Pretty & Relaxing Bedroom with Bathroom,Stephanie & Tom,Mission,37.75054282,-122.4165585,Private room,173,65,6,36,57,332,50,100,2.56
12815115,Spacious Mission Condo,Anna,Mission,37.75628818,-122.4087377,Entire home/apt,600,0,0,0,0,0,0,-1,-1
10406646,Bright Skylight-Filled 2 Bedroom in the Mission,Joyce,Mission,37.75724642,-122.4093147,Entire home/apt,250,95,8,11,15,15,41,92,2.77
4558566,Charming Mission Victorian 3bd/2ba,Omar,Mission,37.74932935,-122.4107925,Entire home/apt,300,100,0,2,17,128,23,93,0.83
2771688,2B Central Mission District,Mando,Mission,37.7513531,-122.4176588,Entire home/apt,189,95,20,50,80,355,132,92,3.67
5020057,Sunny garden room on 24th,Brooke,Mission,37.75199246,-122.4042105,Private room,130,0,11,26,53,328,115,98,4.36
15151013,"Live/Work Tech Space #1 - Mission, SF",Alexandre,Mission,37.76142933,-122.4193501,Private room,90,40,0,0,0,0,0,-1,-1
4925354,Mission: Small Room in a Great Flat,Scott,Mission,37.76652079,-122.4246601,Private room,95,20,6,8,8,220,66,94,3.11
13863669,Charming house in the Mission,Austin,Mission,37.75995514,-122.4241064,Entire home/apt,325,150,4,7,34,54,16,91,1.95
5394755,"Private Room, Large House Mission",Dominic,Mission,37.75870167,-122.42124,Private room,119,60,12,36,44,302,65,95,3.43
8861480,Cozy & Central Mission Apt,Jeff,Mission,37.76147949,-122.4157135,Private room,134,0,0,0,0,273,3,100,0.17
14139656,Spacious Sun-Drenched Beauty Near Dolores Park,Roxy,Mission,37.75939066,-122.4211674,Entire home/apt,490,150,8,11,21,43,10,100,1.2
7802522,Cozy Bedroom in Mission District,Cristine + Will,Mission,37.74961782,-122.4181314,Private room,140,25,30,60,90,365,4,100,0.21
15470227,1 BR Cottage Close to Mission Awesomeness,Rachel,Mission,37.75958581,-122.4100011,Entire home/apt,185,95,0,1,30,30,7,94,1.4
10756717,"Bright, spacious Mission flat",Ty,Mission,37.75560551,-122.4067193,Entire home/apt,550,90,0,0,0,0,0,-1,-1
1117756,San Francisco Mission Hideout,Judith,Mission,37.7505213,-122.4073568,Private room,113,25,7,19,37,286,293,97,6.22
17588923,Top Floor Mission Dolores Private Bedroom,Josh,Mission,37.76832743,-122.4250571,Private room,115,82,24,54,83,83,0,-1,-1
7228772,Bright & Beautiful Apartment,Shane,Mission,37.76888719,-122.4240599,Entire home/apt,155,30,0,0,0,0,12,96,0.57
15501322,Cozy and spacious room in a great location,Brendan,Mission,37.75134306,-122.4226501,Private room,45,50,0,0,0,0,0,-1,-1
4624467,"GorgeousVictorian Rm, TrendyMission",Yaella,Mission,37.75506955,-122.4168171,Private room,169,60,30,60,90,365,12,98,0.53
856123,Mission Penthouse Master Suite,Mark,Mission,37.7622065,-122.4198954,Private room,186,65,0,0,1,90,29,100,0.66
